age,dependents,work_experience,monthly_income,annual_income,existing_loans,existing_emi,savings,assets,cibil_score,loan_amount,interest_rate,loan_tenure,dti_ratio,loan_to_income_ratio,gender,marital_status,education,occupation,loan_type,default,gender_enc,marital_enc,education_enc,occupation_enc,loan_type_enc
57,4,15.99483187760727,27251.18,327014.15,0,5431.76,388639.81,1892082.83,587,311703.91,10.68,12,0.1993,0.9532,Male,Divorced,High School,Student,Agricultural Loan,0,1,0,1,4,0
27,4,7.428951759198065,28047.31,336567.74,1,838.73,121435.11,404490.24,423,488170.72,11.73,84,0.0299,1.4504,Female,Married,Graduate,Student,Education Loan,0,0,1,0,4,2
41,3,15.499263405952625,58604.2,703250.45,1,10418.9,1141355.19,5104576.25,582,361478.96,12.09,60,0.1778,0.514,Female,Married,PhD,Self-employed,Vehicle Loan,0,0,1,2,3,6
29,3,27.487239334824675,20087.34,241048.02,0,7751.51,162174.66,289118.49,479,164600.99,9.5,48,0.3859,0.6829,Female,Divorced,High School,Government,Vehicle Loan,1,0,0,1,1,6
59,3,12.178914865861167,21415.45,256985.4,2,6587.92,401470.14,1702258.59,396,167080.0,11.0,12,0.3076,0.6502,Female,Divorced,Graduate,Business,Personal Loan,1,0,0,0,0,5
38,3,6.67938193384588,17048.4,204580.76,4,3092.46,270967.66,720538.2,490,121626.86,13.37,48,0.1814,0.5945,Male,Divorced,PhD,Government,Home Loan,1,1,0,2,1,4
24,4,10.405676869097098,60440.01,725280.1,1,5796.34,427668.45,731646.1,373,521877.62,13.83,120,0.0959,0.7196,Male,Married,High School,Student,Gold Loan,1,1,1,1,4,3
45,3,26.30661883513169,34093.36,409120.28,4,10770.02,200622.09,811512.51,746,503773.76,8.59,48,0.3159,1.2314,Male,Divorced,PhD,Business,Education Loan,0,1,0,2,0,2
34,4,28.250937702615147,16511.81,198141.67,3,7327.57,66227.67,268092.54,796,755795.84,8.35,12,0.4438,3.8144,Female,Married,PhD,Government,Gold Loan,1,0,1,2,1,3
29,1,26.60060679505184,60614.24,727370.89,4,19586.67,397918.15,1983045.65,860,296524.96,11.74,12,0.3231,0.4077,Male,Single,Post Graduate,Self-employed,Gold Loan,0,1,2,3,3,3
46,0,8.620428340638702,26021.4,312256.85,4,10576.45,120480.86,496832.82,783,110472.87,9.9,12,0.4065,0.3538,Male,Married,Graduate,Government,Vehicle Loan,0,1,1,0,1,6
22,1,11.635365410137213,21525.49,258305.9,0,5613.07,327019.11,517039.77,415,343588.69,7.17,60,0.2608,1.3302,Female,Divorced,Post Graduate,Student,Agricultural Loan,1,0,0,3,4,0
40,1,29.248014736013253,32292.58,387511.0,4,11592.57,477026.42,1092475.87,834,446340.59,9.43,120,0.359,1.1518,Female,Single,Post Graduate,Business,Home Loan,0,0,2,3,0,4
48,2,9.715569320030301,88188.7,1058264.45,2,39518.54,1277145.06,3584828.26,397,174242.07,12.65,240,0.4481,0.1646,Female,Single,Post Graduate,Business,Gold Loan,1,0,2,3,0,3
27,1,4.1357965378422055,28653.27,343839.18,4,11077.05,451674.76,680498.26,627,187987.03,12.58,180,0.3866,0.5467,Female,Single,High School,Business,Home Loan,0,0,2,1,0,4
64,2,8.46282612933205,51287.55,615450.6,3,23332.09,1012418.51,4203719.51,706,634592.58,10.46,24,0.4549,1.0311,Male,Divorced,Post Graduate,Self-employed,Vehicle Loan,0,1,0,3,3,6
28,2,28.919325763198092,56176.17,674114.1,4,12109.89,1236533.8,3841655.99,612,479499.07,10.31,240,0.2156,0.7113,Female,Single,Post Graduate,Business,Agricultural Loan,0,0,2,3,0,0
55,2,12.47626351451942,47380.4,568564.83,0,21421.16,298431.98,1425847.78,447,1095033.53,11.06,48,0.4521,1.926,Female,Divorced,PhD,Government,Business Loan,1,0,0,2,1,1
34,1,28.016458197900146,77858.08,934296.99,3,24197.02,1130406.96,3795039.06,641,1754475.74,8.54,60,0.3108,1.8779,Male,Single,Post Graduate,Salaried,Business Loan,0,1,2,3,2,1
37,0,3.122466432946469,23759.33,285111.91,0,10335.89,66567.29,205799.19,794,132953.28,10.68,60,0.435,0.4663,Male,Single,PhD,Salaried,Business Loan,0,1,2,2,2,1
56,2,22.98166716641303,19418.84,233026.1,2,382.32,73078.46,93957.02,322,316445.36,7.08,48,0.0197,1.358,Male,Single,Graduate,Self-employed,Business Loan,1,1,2,0,3,1
60,3,2.800301918434538,19191.45,230297.37,2,6312.57,308018.97,492024.46,404,488408.57,10.33,84,0.3289,2.1208,Male,Single,PhD,Government,Gold Loan,1,1,2,2,1,3
24,3,5.9248717408885625,33300.21,399602.51,0,14118.87,405974.6,1785518.64,878,591761.36,9.35,12,0.424,1.4809,Female,Single,High School,Self-employed,Gold Loan,0,0,2,1,3,3
22,4,18.48306724035348,20573.77,246885.18,2,1792.0,379413.93,1882918.99,857,997198.32,11.72,24,0.0871,4.0391,Male,Married,Post Graduate,Salaried,Education Loan,0,1,1,3,2,2
26,3,13.034344856980152,39676.9,476122.85,0,13128.83,428136.89,1139150.92,892,792462.11,11.47,48,0.3309,1.6644,Male,Single,High School,Business,Agricultural Loan,0,1,2,1,0,0
62,3,20.000227585314992,38032.38,456388.5,1,15687.49,149648.4,634560.73,521,1099915.69,9.67,48,0.4125,2.41,Male,Married,Graduate,Salaried,Agricultural Loan,1,1,1,0,2,0
24,2,29.202188761400084,66912.69,802952.33,4,9633.73,1408996.27,4946060.28,314,464672.51,7.05,180,0.144,0.5787,Male,Divorced,High School,Salaried,Gold Loan,1,1,0,1,2,3
49,1,1.5814118017047785,43247.15,518965.78,1,8762.87,125695.02,607890.92,377,267586.19,8.77,240,0.2026,0.5156,Male,Divorced,PhD,Salaried,Personal Loan,0,1,0,2,2,5
38,3,5.748800158634437,28291.28,339495.35,2,8056.19,151250.46,295323.93,621,2105293.02,11.43,48,0.2848,6.2012,Male,Single,Post Graduate,Self-employed,Vehicle Loan,0,1,2,3,3,6
46,1,19.20671767616917,46467.55,557610.61,0,12062.23,342487.59,1088885.53,540,500148.41,7.51,84,0.2596,0.8969,Female,Divorced,PhD,Student,Personal Loan,1,0,0,2,4,5
64,0,26.89579350571194,19572.55,234870.66,0,383.52,467616.79,1232255.94,317,364587.56,7.75,48,0.0196,1.5523,Female,Single,High School,Self-employed,Business Loan,1,0,2,1,3,1
54,3,23.929437301315463,35493.88,425926.57,0,1751.13,375801.25,1190111.43,753,187629.5,11.53,48,0.0493,0.4405,Male,Married,PhD,Student,Gold Loan,0,1,1,2,4,3
30,0,13.967474566502009,43986.62,527839.42,0,2209.59,551561.24,1144728.03,742,502612.48,12.29,240,0.0502,0.9522,Male,Divorced,High School,Self-employed,Gold Loan,0,1,0,1,3,3
56,0,22.364240252533126,39245.44,470945.29,4,5146.41,734008.47,2195408.07,576,988152.21,9.25,48,0.1311,2.0982,Male,Single,High School,Salaried,Personal Loan,1,1,2,1,2,5
34,4,6.2429268309942945,46585.24,559022.89,3,5726.82,728479.43,2549107.31,723,296448.17,10.43,84,0.1229,0.5303,Female,Single,High School,Business,Agricultural Loan,0,0,2,1,0,0
51,1,0.41191774722875385,24675.65,296107.85,1,9157.41,502215.6,665367.14,775,397637.62,13.62,240,0.3711,1.3429,Male,Divorced,High School,Government,Education Loan,0,1,0,1,1,2
35,1,17.100499509762443,72491.08,869893.0,2,20759.43,883519.11,3509292.88,326,540000.4,13.62,36,0.2864,0.6208,Male,Divorced,Graduate,Student,Education Loan,1,1,0,0,4,2
28,4,24.397340129781682,108369.44,1300433.23,0,41395.83,2531519.43,9685825.85,813,645473.75,9.15,120,0.382,0.4964,Male,Divorced,Post Graduate,Self-employed,Personal Loan,0,1,0,3,3,5
34,2,13.003306181409776,13882.64,166591.66,1,485.17,268305.37,1213231.39,763,359378.67,12.67,120,0.0349,2.1572,Male,Single,PhD,Business,Personal Loan,0,1,2,2,0,5
43,4,17.077463113462613,17511.99,210143.91,3,4248.53,179172.27,484379.0,662,322904.74,11.16,12,0.2426,1.5366,Male,Single,PhD,Government,Vehicle Loan,0,1,2,2,1,6
60,4,12.66543583921379,37266.49,447197.88,1,6032.99,364065.73,453872.2,682,294016.27,13.83,24,0.1619,0.6575,Female,Single,PhD,Business,Education Loan,0,0,2,2,0,2
41,4,15.421136996161028,31134.43,373613.1,2,13231.19,696735.43,1982800.71,824,182539.69,10.34,60,0.425,0.4886,Male,Married,High School,Student,Business Loan,0,1,1,1,4,1
36,0,26.530387913547504,113306.0,1359672.06,0,40098.38,1896919.23,2941053.17,681,238913.67,12.42,180,0.3539,0.1757,Female,Single,High School,Student,Agricultural Loan,0,0,2,1,4,0
38,1,14.3442032790817,41434.56,497214.72,2,18008.67,633657.63,2274696.09,483,233829.29,12.38,84,0.4346,0.4703,Male,Single,Post Graduate,Government,Home Loan,1,1,2,3,1,4
44,2,0.2242675940570915,83744.62,1004935.38,0,1944.01,1543422.02,1834397.35,493,128831.2,10.48,120,0.0232,0.1282,Male,Single,Post Graduate,Government,Business Loan,1,1,2,3,1,1
46,3,23.995459270114523,10620.33,127444.0,3,3827.69,147613.9,368442.18,761,979067.37,12.57,36,0.3604,7.6823,Female,Divorced,Post Graduate,Student,Gold Loan,0,0,0,3,4,3
45,3,18.53152024207518,59189.63,710275.6,2,15981.45,275873.16,367289.69,355,589868.08,8.83,84,0.27,0.8305,Female,Single,PhD,Student,Gold Loan,1,0,2,2,4,3
61,3,21.91180010806787,23639.87,283678.42,1,9751.45,197202.73,199858.21,529,495727.52,7.86,240,0.4125,1.7475,Male,Married,Post Graduate,Salaried,Personal Loan,1,1,1,3,2,5
49,2,27.032616190219308,23413.65,280963.8,3,5937.24,323874.74,1568275.63,788,1256245.9,9.98,36,0.2536,4.4712,Male,Married,High School,Government,Business Loan,0,1,1,1,1,1
35,3,8.58642708691412,31287.85,375454.22,2,8450.99,44361.79,221121.76,327,785658.82,13.61,84,0.2701,2.0926,Female,Divorced,Post Graduate,Government,Home Loan,0,0,0,3,1,4
21,2,15.092097638008967,15448.23,185378.78,0,399.86,170843.02,550458.22,882,235227.28,10.51,120,0.0259,1.2689,Female,Married,Graduate,Student,Education Loan,0,0,1,0,4,2
45,3,18.07450648037636,47366.54,568398.46,3,15832.81,870761.16,1703055.05,483,1131113.21,11.45,60,0.3343,1.99,Female,Married,High School,Self-employed,Agricultural Loan,1,0,1,1,3,0
27,3,10.361734934870466,40718.14,488617.68,0,5560.87,194526.11,903456.34,724,963000.5,11.37,180,0.1366,1.9709,Female,Single,Graduate,Salaried,Education Loan,0,0,2,0,2,2
29,2,25.382014570614626,42604.51,511254.1,4,419.52,105866.06,496739.06,674,180893.31,7.93,180,0.0098,0.3538,Male,Single,Post Graduate,Self-employed,Education Loan,0,1,2,3,3,2
44,1,20.926985396995747,61834.62,742015.39,1,2054.06,1250832.05,5526220.49,340,910933.21,9.73,84,0.0332,1.2276,Male,Single,Graduate,Student,Business Loan,0,1,2,0,4,1
21,2,22.00222751439154,90117.46,1081409.54,0,43134.07,1369542.01,4351692.25,783,304431.18,11.95,120,0.4786,0.2815,Female,Single,High School,Salaried,Personal Loan,0,0,2,1,2,5
64,2,24.240218051297784,29195.6,350347.23,2,5051.97,147768.18,191922.59,559,982365.38,13.8,36,0.173,2.804,Male,Single,PhD,Salaried,Personal Loan,0,1,2,2,2,5
28,4,7.7425254393474985,48359.13,580309.6,4,20989.69,945179.97,1279542.77,740,337608.62,8.18,120,0.434,0.5818,Female,Married,High School,Student,Gold Loan,0,0,1,1,4,3
44,0,22.369253689949325,43295.02,519540.26,3,20774.62,698650.8,3204347.32,383,288754.99,9.87,120,0.4798,0.5558,Male,Single,High School,Business,Business Loan,1,1,2,1,0,1
31,0,23.214205786509016,45550.13,546601.53,2,21482.97,395591.16,1781468.6,345,313570.88,7.67,48,0.4716,0.5737,Female,Married,High School,Business,Gold Loan,1,0,1,1,0,3
37,1,25.27177639953101,45961.46,551537.58,3,20262.69,443643.69,1214514.09,739,203264.92,8.7,48,0.4409,0.3685,Male,Divorced,Graduate,Government,Education Loan,0,1,0,0,1,2
28,1,14.656134915050732,94306.18,1131674.17,4,42194.66,432434.18,1000055.27,818,135362.95,9.64,36,0.4474,0.1196,Female,Married,High School,Student,Agricultural Loan,0,0,1,1,4,0
55,1,15.125688464812455,27562.02,330744.19,2,3982.82,557052.57,1992296.09,737,59922.18,10.78,120,0.1445,0.1812,Female,Single,High School,Student,Gold Loan,0,0,2,1,4,3
55,0,2.945346603035115,14538.54,174462.5,0,1101.08,184743.48,781086.51,435,190281.84,8.61,60,0.0757,1.0907,Female,Single,High School,Self-employed,Gold Loan,1,0,2,1,3,3
53,1,25.5636287645469,23891.45,286697.34,2,7636.45,329975.23,1295726.88,482,3629112.28,8.59,36,0.3196,12.6583,Female,Single,Post Graduate,Student,Education Loan,1,0,2,3,4,2
25,1,16.004645661379953,57202.92,686435.0,1,13960.53,1219584.14,4222702.46,471,648624.15,12.44,84,0.2441,0.9449,Male,Divorced,Graduate,Business,Personal Loan,0,1,0,0,0,5
62,2,17.833041649326553,36827.41,441928.93,0,1818.29,50236.42,96757.57,889,1965737.57,13.74,84,0.0494,4.4481,Female,Divorced,Post Graduate,Student,Gold Loan,0,0,0,3,4,3
59,2,3.643219694583677,27431.31,329175.74,1,9292.92,69654.42,142792.92,838,342984.15,9.27,84,0.3388,1.0419,Male,Married,High School,Self-employed,Personal Loan,0,1,1,1,3,5
61,0,18.054675957190046,19036.27,228435.3,2,5357.38,89781.1,349811.39,419,304170.23,11.82,24,0.2814,1.3315,Male,Married,Post Graduate,Government,Home Loan,1,1,1,3,1,4
48,2,1.259650502853178,41471.91,497662.95,2,17896.53,70123.6,295253.98,580,1746688.95,8.81,120,0.4315,3.5098,Female,Single,PhD,Salaried,Personal Loan,1,0,2,2,2,5
27,1,27.696262999219517,53460.79,641529.48,3,16283.72,862728.39,1263500.89,607,597559.98,13.5,120,0.3046,0.9315,Female,Single,High School,Government,Vehicle Loan,0,0,2,1,1,6
29,2,25.906124160077912,43631.0,523572.02,2,12520.92,679737.32,1188988.49,576,206030.52,11.71,48,0.287,0.3935,Male,Single,Post Graduate,Self-employed,Vehicle Loan,1,1,2,3,3,6
28,4,5.8295227089367385,31194.65,374335.77,0,6874.55,182440.14,679020.5,829,734051.15,12.62,84,0.2204,1.9609,Male,Married,High School,Student,Education Loan,0,1,1,1,4,2
32,2,17.814019981698955,39655.49,475865.92,1,9176.02,175925.58,449656.34,594,1203455.66,7.35,48,0.2314,2.529,Male,Single,PhD,Business,Vehicle Loan,0,1,2,2,0,6
54,0,18.0809736150859,39517.77,474213.27,4,18857.51,171931.87,559323.87,352,141167.45,11.19,48,0.4772,0.2977,Male,Married,High School,Student,Home Loan,1,1,1,1,4,4
53,1,24.102972441059183,40693.28,488319.32,1,2816.91,932875.15,3227057.52,731,641604.06,10.69,84,0.0692,1.3139,Female,Married,High School,Salaried,Agricultural Loan,0,0,1,1,2,0
43,1,22.70761088256914,17843.9,214126.81,3,3981.14,302464.9,1241562.1,351,148838.96,9.05,240,0.2231,0.6951,Male,Single,Post Graduate,Business,Agricultural Loan,1,1,2,3,0,0
44,0,29.797296467304577,40879.98,490559.8,4,13405.1,591323.36,2497080.36,371,1152454.14,8.84,120,0.3279,2.3493,Female,Single,High School,Government,Personal Loan,1,0,2,1,1,5
57,2,10.525220314037014,27879.37,334552.39,4,6036.03,234666.14,497582.57,327,532085.11,11.06,24,0.2165,1.5904,Male,Married,PhD,Self-employed,Agricultural Loan,1,1,1,2,3,0
55,1,3.738973554531806,67803.64,813643.68,2,9601.53,743127.46,2352137.31,768,732141.39,11.95,84,0.1416,0.8998,Male,Married,PhD,Government,Personal Loan,0,1,1,2,1,5
64,1,17.204151598551906,39330.33,471963.93,3,5650.93,120206.67,179600.27,846,371775.28,7.23,60,0.1437,0.7877,Male,Married,Post Graduate,Salaried,Business Loan,0,1,1,3,2,1
60,4,22.919750222001454,59951.28,719415.38,3,7003.99,1436282.43,6273768.79,700,106374.17,10.97,84,0.1168,0.1479,Female,Married,High School,Salaried,Gold Loan,0,0,1,1,2,3
42,0,8.573800569169212,30300.85,363610.25,2,5210.28,556534.74,2438619.34,500,310784.27,8.19,180,0.172,0.8547,Female,Divorced,Graduate,Student,Gold Loan,0,0,0,0,4,3
47,2,7.086191005739667,30963.73,371564.72,0,13495.15,473541.36,1040854.74,765,930866.94,7.98,180,0.4358,2.5053,Male,Single,High School,Student,Gold Loan,0,1,2,1,4,3
55,2,24.07363785839052,89014.16,1068169.93,2,22486.07,1292365.05,2122684.81,894,2180147.35,11.36,36,0.2526,2.041,Male,Married,Graduate,Student,Personal Loan,0,1,1,0,4,5
21,1,22.61166875175668,47183.57,566202.89,3,5667.66,594476.73,761148.46,859,554505.54,9.18,240,0.1201,0.9793,Male,Divorced,High School,Salaried,Personal Loan,0,1,0,1,2,5
55,3,6.101759032115598,23654.09,283849.07,4,4547.81,163705.95,540214.21,678,255484.73,10.09,84,0.1923,0.9001,Female,Divorced,PhD,Business,Business Loan,0,0,0,2,0,1
57,4,26.07811811985996,62204.63,746455.52,0,3291.57,386102.83,527305.42,476,679126.18,9.52,120,0.0529,0.9098,Male,Married,PhD,Government,Gold Loan,0,1,1,2,1,3
34,4,4.0418825177747735,26370.92,316451.04,3,11920.13,359679.48,1338863.47,351,866238.7,11.54,240,0.452,2.7374,Female,Divorced,High School,Government,Business Loan,1,0,0,1,1,1
23,4,3.277194758153783,41581.84,498982.12,3,8486.81,108720.67,403626.08,378,491984.75,10.29,120,0.2041,0.986,Female,Divorced,High School,Self-employed,Agricultural Loan,1,0,0,1,3,0
21,1,10.533217093754958,109316.74,1311800.83,2,53586.58,296557.54,1024887.93,684,468350.1,13.74,240,0.4902,0.357,Male,Divorced,PhD,Self-employed,Personal Loan,0,1,0,2,3,5
25,0,26.595977788759004,15386.27,184635.19,1,2673.66,213849.29,963656.66,875,524859.88,9.47,12,0.1738,2.8427,Male,Single,High School,Business,Agricultural Loan,0,1,2,1,0,0
46,0,20.863205059776305,32680.4,392164.82,3,13666.23,724056.43,1819642.71,307,458098.86,12.18,12,0.4182,1.1681,Female,Married,High School,Student,Home Loan,1,0,1,1,4,4
34,4,11.841557476537044,46395.74,556748.91,1,5947.59,1022017.14,4710557.06,513,561420.11,8.8,36,0.1282,1.0084,Female,Single,Post Graduate,Student,Gold Loan,0,0,2,3,4,3
59,3,4.717527703556166,57458.54,689502.53,0,2187.82,71768.65,82368.98,324,1908924.59,10.56,240,0.0381,2.7686,Male,Divorced,Post Graduate,Business,Vehicle Loan,1,1,0,3,0,6
47,3,21.404295381679333,17244.69,206936.3,4,273.62,59840.24,86829.85,749,86973.4,10.87,12,0.0159,0.4203,Female,Divorced,Post Graduate,Government,Gold Loan,0,0,0,3,1,3
29,2,17.97441658464938,14451.1,173413.2,1,4379.9,208251.73,551621.81,756,365578.18,9.3,12,0.3031,2.1081,Male,Divorced,Graduate,Student,Vehicle Loan,0,1,0,0,4,6
35,3,29.630487332073926,69874.05,838488.6,1,10885.46,1433462.05,4839327.85,760,209843.38,10.3,60,0.1558,0.2503,Male,Single,PhD,Government,Education Loan,0,1,2,2,1,2
35,4,22.966783854436347,23570.5,282845.97,1,5226.99,540997.8,611058.4,497,1137840.18,8.95,180,0.2218,4.0228,Female,Married,High School,Salaried,Agricultural Loan,1,0,1,1,2,0
46,2,3.0637186922541417,22985.77,275829.21,1,9408.62,477952.05,1562777.94,393,395258.11,7.04,24,0.4093,1.433,Male,Divorced,PhD,Self-employed,Agricultural Loan,1,1,0,2,3,0
62,4,21.846451782318933,92055.76,1104669.17,1,11419.89,1526754.25,3404040.99,736,692292.49,8.51,48,0.1241,0.6267,Female,Single,High School,Student,Vehicle Loan,0,0,2,1,4,6
33,0,7.723411365493508,37866.47,454397.68,0,5843.79,212509.56,966618.25,826,1385879.37,11.9,84,0.1543,3.0499,Female,Single,High School,Self-employed,Business Loan,0,0,2,1,3,1
52,4,28.85687096926253,38015.26,456183.12,3,16067.84,101511.92,318050.88,677,186314.67,12.4,12,0.4227,0.4084,Male,Single,PhD,Business,Home Loan,0,1,2,2,0,4
59,2,0.5782085242263224,32601.72,391220.64,4,8032.45,68230.93,228681.14,886,290101.43,8.96,48,0.2464,0.7415,Male,Single,Graduate,Salaried,Personal Loan,0,1,2,0,2,5
52,4,7.150517709538934,17424.12,209089.45,3,7210.67,262716.81,1256439.8,403,1276032.1,9.86,48,0.4138,6.1028,Female,Married,Graduate,Student,Agricultural Loan,1,0,1,0,4,0
